Datum	Sonnenaufgang	Sonnenuntergang	Sonnenstunden	SonnenstundenSpeak
1.Jan	08:32	16:38	08:06	8 Stunden 6 Minuten
2.Jan	08:32	16:39	08:07	8 Stunden 7 Minuten
3.Jan	08:32	16:40	08:08	8 Stunden 8 Minuten
4.Jan	08:32	16:41	08:09	8 Stunden 9 Minuten
5.Jan	08:32	16:42	08:10	8 Stunden 10 Minuten
6.Jan	08:31	16:43	08:12	8 Stunden 12 Minuten
7.Jan	08:31	16:45	08:14	8 Stunden 14 Minuten
8.Jan	08:31	16:46	08:15	8 Stunden 15 Minuten
9.Jan	08:30	16:47	08:17	8 Stunden 17 Minuten
10.Jan	08:30	16:49	08:19	8 Stunden 19 Minuten
11.Jan	08:29	16:50	08:21	8 Stunden 21 Minuten
12.Jan	08:28	16:51	08:23	8 Stunden 23 Minuten
13.Jan	08:28	16:53	08:25	8 Stunden 25 Minuten
14.Jan	08:27	16:54	08:27	8 Stunden 27 Minuten
15.Jan	08:26	16:56	08:30	8 Stunden 30 Minuten
16.Jan	08:25	16:57	08:32	8 Stunden 32 Minuten
17.Jan	08:25	16:59	08:34	8 Stunden 34 Minuten
18.Jan	08:24	17:00	08:36	8 Stunden 36 Minuten
19.Jan	08:23	17:02	08:39	8 Stunden 39 Minuten
20.Jan	08:22	17:04	08:42	8 Stunden 42 Minuten
21.Jan	08:21	17:05	08:44	8 Stunden 44 Minuten
22.Jan	08:19	17:07	08:48	8 Stunden 48 Minuten
23.Jan	08:18	17:09	08:51	8 Stunden 51 Minuten
24.Jan	08:17	17:10	08:53	8 Stunden 53 Minuten
25.Jan	08:16	17:12	08:56	8 Stunden 56 Minuten
26.Jan	08:15	17:14	08:59	8 Stunden 59 Minuten
27.Jan	08:13	17:15	09:02	9 Stunden 2 Minuten
28.Jan	08:12	17:17	09:05	9 Stunden 5 Minuten
29.Jan	08:11	17:19	09:08	9 Stunden 8 Minuten
30.Jan	08:09	17:20	09:11	9 Stunden 11 Minuten
31.Jan	08:08	17:22	09:14	9 Stunden 14 Minuten
1.Feb	08:06	17:24	09:18	9 Stunden 18 Minuten
2.Feb	08:05	17:26	09:21	9 Stunden 21 Minuten
3.Feb	08:03	17:28	09:25	9 Stunden 25 Minuten
4.Feb	08:02	17:29	09:27	9 Stunden 27 Minuten
5.Feb	08:00	17:31	09:31	9 Stunden 31 Minuten
6.Feb	07:59	17:33	09:34	9 Stunden 34 Minuten
7.Feb	07:57	17:35	09:38	9 Stunden 38 Minuten
8.Feb	07:55	17:36	09:41	9 Stunden 41 Minuten
9.Feb	07:54	17:38	09:44	9 Stunden 44 Minuten
10.Feb	07:52	17:40	09:48	9 Stunden 48 Minuten
11.Feb	07:50	17:42	09:52	9 Stunden 52 Minuten
12.Feb	07:48	17:44	09:56	9 Stunden 56 Minuten
13.Feb	07:46	17:45	09:59	9 Stunden 59 Minuten
14.Feb	07:45	17:47	10:02	10 Stunden 2 Minuten
15.Feb	07:43	17:49	10:06	10 Stunden 6 Minuten
16.Feb	07:41	17:51	10:10	10 Stunden 10 Minuten
17.Feb	07:39	17:52	10:13	10 Stunden 13 Minuten
18.Feb	07:37	17:54	10:17	10 Stunden 17 Minuten
19.Feb	07:35	17:56	10:21	10 Stunden 21 Minuten
20.Feb	07:33	17:58	10:25	10 Stunden 25 Minuten
21.Feb	07:31	17:59	10:28	10 Stunden 28 Minuten
22.Feb	07:29	18:01	10:32	10 Stunden 32 Minuten
23.Feb	07:27	18:03	10:36	10 Stunden 36 Minuten
24.Feb	07:25	18:05	10:40	10 Stunden 40 Minuten
25.Feb	07:23	18:06	10:43	10 Stunden 43 Minuten
26.Feb	07:21	18:08	10:47	10 Stunden 47 Minuten
27.Feb	07:19	18:10	10:51	10 Stunden 51 Minuten
28.Feb	07:17	18:12	10:55	10 Stunden 55 Minuten
1.Mrz	07:15	18:13	10:58	10 Stunden 58 Minuten
2.Mrz	07:13	18:15	11:02	11 Stunden 2 Minuten
3.Mrz	07:10	18:17	11:07	11 Stunden 7 Minuten
4.Mrz	07:08	18:19	11:11	11 Stunden 11 Minuten
5.Mrz	07:06	18:20	11:14	11 Stunden 14 Minuten
6.Mrz	07:04	18:22	11:18	11 Stunden 18 Minuten
7.Mrz	07:02	18:24	11:22	11 Stunden 22 Minuten
8.Mrz	07:00	18:25	11:25	11 Stunden 25 Minuten
9.Mrz	06:57	18:27	11:30	11 Stunden 30 Minuten
10.Mrz	06:55	18:29	11:34	11 Stunden 34 Minuten
11.Mrz	06:53	18:30	11:37	11 Stunden 37 Minuten
12.Mrz	06:51	18:32	11:41	11 Stunden 41 Minuten
13.Mrz	06:49	18:34	11:45	11 Stunden 45 Minuten
14.Mrz	06:46	18:35	11:49	11 Stunden 49 Minuten
15.Mrz	06:44	18:37	11:53	11 Stunden 53 Minuten
16.Mrz	06:42	18:39	11:57	11 Stunden 57 Minuten
